,Entity,Year,GHG,Total (CO₂),Coal (CO₂),Oil (CO₂),Gas (CO₂),Cement (CO₂),Flaring (CO₂),Other (CO₂),Per Capita (CO₂)
32136,World,1981,32570309000.0,19016954114.0,6988982436.0,8546806382.000001,2794700463.0,402620017.0,237172984.0,,4202988.0
32137,World,1982,32320344000.0,18865378822.0,7111198706.0,8341190365.0,2731646137.0,400749885.0,235580406.0,,4094063.0
32138,World,1983,32752468000.0,18985907777.0,7297603389.0,8256610102.000001,2760968291.0,409610913.0,212846486.0,,4046542.0
32139,World,1984,34383640000.0,19641736175.0,7650650509.0,8323786416.999999,3010956470.0,417355661.0,186750930.0,,4112732.000000001
32140,World,1985,34802164000.0,20305138351.0,8201939050.999999,8322091807.000001,3121935675.0,422452949.0,181446563.0,,4176525.0
32141,World,1986,35424960000.0,20607521977.0,8320634180.999999,8571355946.0,3046135993.0,440079134.0,169667689.0,,4163082.0
32142,World,1987,35869164000.0,21245792311.0,8598466947.0,8643099477.0,3307908315.0,458904912.0,163006669.0,,4214612.0
32143,World,1988,36640596000.0,22077395647.0,8892935947.0,8960327158.0,3466244007.0,483216651.0,185508935.0,,4301662.0
32144,World,1989,36901773000.0,22378980523.0,8891693448.0,9116452854.0,3640350260.0,493095218.0,150679543.0,,4284121.0
32145,World,1990,37335880000.0,22752712274.0,8701799262.0,9245125135.0,3830344791.0,493627222.0,258797578.0,223018285.0,4279902.0
32146,World,1991,37748945000.0,23229484128.0,8614591023.0,9708500565.0,3909326076.0,507475314.0,274002631.0,215588519.0,4296786.0
32147,World,1992,37381090000.0,22567201967.0,8409501423.0,9211274701.0,3959731978.0,528555425.0,241971706.0,216166735.0,4108591.0
32148,World,1993,37327962000.0,22798357300.0,8511262692.0,9218435144.0,4067149273.0,551281885.0,234089086.0,216139221.0,4087607.0
32149,World,1994,38563020000.0,23034782079.0,8559119760.0,9254120096.0,4101933443.0,588425717.0,314805664.0,216377398.0,4069226.0
32150,World,1995,38797140000.0,23524500923.0,8803171280.0,9338986401.0,4210042007.0,622288271.0,326463062.0,223549901.0,4096048.0
32151,World,1996,40186060000.0,24250171874.0,9024370761.0,9621563131.0,4396569599.0,635110641.0,350549641.0,222008100.0,4163016.0
32152,World,1997,41658655000.0,24395964512.0,8977738884.0,9767245594.0,4413478832.0,660845089.0,352929069.0,223727043.0,4130372.000000001
32153,World,1998,40217952000.0,24330955659.0,8735934392.0,9893842333.0,4485610754.0,658349225.0,336664532.0,220554423.0,4063752.0
32154,World,1999,40655057000.0,24833500628.0,8862756777.0,10135550348.0,4595318305.0,690511725.0,330114424.0,219249049.0,4092698.000000001
32155,World,2000,40732266000.0,25501294775.0,9207197950.0,10278095214.0,4731032102.0,721429287.0,347222593.0,216317630.0,4147294.0
32156,World,2001,40393683000.0,25674935343.0,9259311645.0,10356254703.0,4756258483.0,753945426.0,335829277.0,213335809.0,4120683.0
32157,World,2002,41334140000.0,26248300459.0,9684063327.0,10336739118.0,4904601492.0,781887380.0,324719891.0,216289251.0,4158208.0
32158,World,2003,43886330000.0,27648664305.0,10522821434.0,10617453835.0,5082750205.0,860008916.0,344596193.0,221033721.0,4324226.0
32159,World,2004,44371150000.0,28620208610.0,10876574917.0,11010560725.0,5260277726.0,898575789.0,342643757.0,231575696.0,4419597.0
32160,World,2005,44987160000.0,29592119865.0,11553742519.0,11109227448.0,5374961391.0,963940327.0,347980139.0,242268041.0,4512248.0
32161,World,2006,46601814000.0,30605789175.0,12199222247.0,11211137621.0,5543594327.0,1051330761.0,347545610.0,252958608.0,4608323.0
32162,World,2007,46866113000.0,31499764015.0,12788580987.0,11248833694.0,5730253692.0,1129162140.0,343312290.0,259621210.00000003,4683319.0
32163,World,2008,47752990000.0,32041935525.0,13203811061.0,11205659161.0,5894369729.0,1143370619.0,334771456.0,259953500.00000003,4704027.0
32164,World,2009,47577604000.0,31493198417.0,13032981779.0,10961764782.0,5748563244.0,1175418572.0,330442250.0,244027791.0,4565353.0
32165,World,2010,49800950000.0,33306267951.0,13940669061.0,11329993699.0,6193107293.0,1254873649.0,341463875.0,246160374.0,4767844.0
32166,World,2011,51089150000.0,34436358806.0,14731075579.0,11348541408.0,6372958112.0,1349177271.0,359531432.0,275075005.0,4868620.0
32167,World,2012,52088530000.0,34935427671.0,14896438329.0,11498274856.0,6502504419.0,1384165231.0,377338855.0,276705982.0,4878093.0
32168,World,2013,51811950000.0,35232380709.0,14988936757.0,11584105946.0,6536348454.0,1442902521.0,385548308.0,294538723.0,4859241.0
32169,World,2014,52359200000.0,35466082037.0,15005937179.0,11621565125.0,6646636913.0,1499506104.0,387053969.0,305382748.0,4832541.0
32170,World,2015,52443984000.0,35463102211.0,14661955110.0,11885408473.0,6783354799.0,1444446046.0,384290220.0,303647563.0,4775148.0
32171,World,2016,51361518000.0,35459862150.0,14325287079.0,12006984727.0,6969958356.0,1482876631.0,374255736.0,300499621.0,4719503.0
32172,World,2017,51949548000.0,36025176756.0,14489447181.0,12219578166.0,7121321193.0,1504530058.0,387489882.0,302810277.0,4740266.0
32173,World,2018,52420270000.0,36766598778.0,14725027416.0,12267318643.0,7498006142.0,1565802564.0,407301862.0,303142150.0,4784956.0
32174,World,2019,52796522000.0,37039802953.0,14684096262.0,12377890216.0,7621401428.0,1615776108.0,435431524.0,305207416.0,4770127.0
32175,World,2020,50792542000.0,35046539976.0,14225719088.0,10938959381.0,7555246643.0,1633046658.0,398520302.0,295047904.0,4469679.0
32176,World,2021,52938793000.0,36857986325.0,14982814606.0,11555951947.0,7922052742.0,1692403750.0,403426985.0,301336295.0,4660085.0
32177,World,2022,53327217000.0,37191839936.0,15218794204.0,11920396391.0,7747787151.0,1605474109.0,398363454.0,301024628.0,4663492.0
